scientific_name,proposed_dataset_folder,cnn_supported,current_local_images,image_pool_outlook,notes
Acanthus ebracteatus,Acanthus_ebracteatus,false,0,medium,"Expert review needed against other Acanthus species"
Acanthus ilicifolius,Acanthus_ilicifolius,false,0,high,"Non-spiny forms can resemble related Acanthus species"
Acanthus volubilis,Acanthus_volubilis,false,0,low-medium,"Verified public images are limited"
Avicennia alba,Avicennia_alba,false,0,high,"Review carefully against other Avicennia species"
Avicennia officinalis,Avicennia_officinalis,false,0,high,"Include leaves flowers fruits roots and bark"
Nypa fruticans,Nypa_fruticans,false,0,high,"Distinctive palm form; collect multiple plant parts"
Lumnitzera racemosa,Lumnitzera_racemosa,false,0,high,"Flower images help separate Lumnitzera species"
Lumnitzera littorea,Lumnitzera_littorea,false,0,medium-high,"Flowering records may be geographically uneven"
Pemphis acidula,Pemphis_acidula,false,0,medium-high,"Include exposed-shore context and close plant details"
Sonneratia ovata,Sonneratia_ovata,false,0,medium,"Expert review needed against other Sonneratia species"
Camptostemon philippinensis,Camptostemon_philippinensis,false,0,low-medium,"Rare species; use only licensed expert-verified images"
Heritiera littoralis,Heritiera_littoralis,false,0,high,"Include silver leaf undersides buttresses and keeled fruits"
Xylocarpus rumphii,Xylocarpus_rumphii,false,0,medium,"Review old Xylocarpus moluccensis labels before inclusion"
Osbornia octodonta,Osbornia_octodonta,false,0,medium,"Include exposed rocky or sandy habitat and multiple plant parts"
Aegiceras corniculatum,Aegiceras_corniculatum,false,0,high,"Curved fruit and clustered flowers are important labels"
Aegiceras floridum,Aegiceras_floridum,false,0,medium,"Verified Philippine fruiting images are limited"
Bruguiera cylindrica,Bruguiera_cylindrica,false,0,high,"Use flowers propagules knee roots leaves and bark"
Bruguiera sexangula,Bruguiera_sexangula,false,0,high,"Confirm large flowers and six-angled propagules"
Ceriops zippeliana,Ceriops_zippeliana,false,0,low,"Resolve Ceriops decandra and Ceriops tagal mislabels with experts"
Scyphiphora hydrophylacea,Scyphiphora_hydrophylacea,false,0,medium-high,"Grooved fruit is a strong visual feature"
